,HOSPI_CODE_UCD,R2,RMSE,MAE,MAPE
0,CODE_UCD_3400892088310,0.5528383957000498,1214.1940163190575,780.6713062424814,13.90701216638976
1,CODE_UCD_3400892075761,0.10970087874789147,709.8864082994565,497.15251507106905,0.19225569287776204
2,CODE_UCD_3400892203645,0.914807120077215,1011.6586760714954,637.5422752059968,0.502827535102891
3,CODE_UCD_3400892065366,0.564106468673359,1235.279296751943,755.2872565263526,0.4720379977129008
4,CODE_UCD_3400892052120,0.5940839384564125,539.0047363198552,353.859565394348,3.1491930122960134
5,CODE_UCD_3400891996128,0.8390692072294832,14034.709130685438,7795.905263091452,4.243435652207584
6,CODE_UCD_3400893826706,0.8274654196876071,1046.1232350315786,757.4362884094958,1.5443195915610841
7,CODE_UCD_3400893736135,0.8405201014648834,881.7805714090728,659.5877744909673,0.3323900228779968
8,CODE_UCD_3400893875490,0.6544934609180559,2877.5473293761925,1762.0819334356665,8.267702457104468
9,CODE_UCD_3400890837149,0.6438609526508611,4277.336378446854,2260.726857990058,17.084308833454692
10,CODE_UCD_3400891235203,0.9232519511496566,820.7261091939116,571.8649196554743,8.62745642985554
11,CODE_UCD_3400891225037,0.8354368263445466,3373.532182078655,2447.39555204949,1.4684681534673607
12,CODE_UCD_3400891191226,0.7465408091056427,1521.0972789887878,974.7601976511102,0.5530187763983159
13,CODE_UCD_3400892729589,0.6973497541055713,812.8928570557256,537.0583387053284,0.16917977721431554
14,CODE_UCD_3400892745848,0.6564248815485212,2820.0307589897448,1323.7711590296494,0.4486105604641955
15,CODE_UCD_3400892697789,0.6113791050508796,576.7645460761281,418.54099591209257,6.665126659821668
16,CODE_UCD_3400892761527,0.9568934051979818,2351.6756708171943,1628.7098824565132,0.6996823188297445
17,CODE_UCD_3400893022634,0.7101586599387635,1014.3459283297858,662.1335227272727,2.7210832458617293
18,CODE_UCD_3400892761695,0.9746252378692796,1566.2812846533789,1223.207111787517,1.3538543800439566
19,CODE_UCD_3400892669236,-0.05112074608379613,1205.63750340645,767.6465753424654,0.07794590706543328
20,CODE_UCD_3400892508566,0.6232930104003457,1137.045855395498,899.132349132349,2.3169935379094193
