HOSPI_CODE_UCD,R2,RMSE,MAE,MAPE
CODE_UCD_3400892088310,0.8226084498709118,750.3254479506646,452.96029304029315,0.10390996615456724
CODE_UCD_3400892075761,0.975337785395895,517.9512684558163,366.33789173789165,0.11371280053417597
CODE_UCD_3400892203645,0.7271501193987888,1507.4442366273101,970.2799046447471,0.2382026053882456
CODE_UCD_3400892065366,0.822202630148581,2455.1083386275145,1566.4509780728533,0.1457263228556497
CODE_UCD_3400892052120,0.8853975528982149,997.9633338992717,666.1200142450142,0.15578845695092014
CODE_UCD_3400891996128,0.0,0.0,0.0,0.0
CODE_UCD_3400893826706,0.8173715321556397,994.9215627280383,807.2689865543373,0.22284316536238435
CODE_UCD_3400893736135,0.7624750224865702,1022.0387876681588,779.5964381914382,0.14313659281349433
CODE_UCD_3400893875490,0.8842057728342193,1916.6030586001045,1103.3075988856924,0.06902563784458275
CODE_UCD_3400890837149,0.6527959675605072,3940.636878024173,2549.9849698912194,55.67369078232998
CODE_UCD_3400891235203,0.8980371759284529,757.4064286311049,509.5508833507703,0.1826565734187007
CODE_UCD_3400891225037,0.7422373778483912,3894.822558860386,2893.463217338217,6.751246891325218
CODE_UCD_3400891191226,0.6843040116507355,1438.8258636154956,1075.6662087912089,0.23703597923033867
CODE_UCD_3400892729589,0.8510287313682812,2256.2049089859916,1345.1278566458375,15.875849872388772
CODE_UCD_3400892745848,0.9175927220457601,1315.147502520713,873.1946117984578,0.19852566988864176
CODE_UCD_3400892697789,0.9336678478181119,950.1173642555696,518.642427017427,0.2558935349538458
CODE_UCD_3400892761527,0.9254856568367674,2701.232853222364,2243.3397725161317,0.252408121793027
CODE_UCD_3400893022634,0.3545871143112662,1288.1053398786644,811.3225982350982,12.408664958577939
CODE_UCD_3400892761695,0.8283332710996281,3620.5071071138445,2616.361682399726,0.3930357962242833
CODE_UCD_3400892669236,0.8437506410149331,3461.4003894699676,2476.0745648448774,0.12391420002098459
CODE_UCD_3400892508566,0.7828214852516422,1153.3703975527062,878.6491617249818,3.195160670212888
